1	1089874	1089925
0	3019446	3019327
1	1945605	1945824
1	1430402	1430329
0	3354381	3354396
1	1390995	1391183
1	2201401	2201285
0	2453843	2453998
0	1756630	1756502
0	938878	938896
1	2357153	2357114
1	2760337	2760373
1	3447768	3447857
1	173848	173787
1	1756397	1756332
0	749900	749726
1	501917	501968
1	356718	356778
1	1083541	1083857
1	1090263	1090673
1	666617	666675
1	2299642	2299604
1	2878218	2878204
1	1758014	1758028
0	149718	149404
1	3018662	3018965
1	2444603	2444722
1	356716	356884
1	2535248	2535076
1	1811569	1811633
1	956105	956277
1	1558644	1558584
1	659710	660044
0	1268500	1268733
1	197693	197750
1	2226418	2226158
1	2191765	2192036
1	2455974	2455938
0	816693	816490
1	198581	198842
1	69590	69792
1	2226059	2226265
1	1012095	1012246
1	2320049	2320007
0	1908431	1908277
0	2594779	2595060
1	173717	173841
0	2963161	2963103
1	2375809	2375778
1	3298856	3298813
0	3052031	3052077
1	546923	546915
1	1853823	1853477
1	3417894	3417817
0	3026089	3026070
1	1618799	1619119
1	842299	842482
1	2795276	2795258
0	2452146	2452300
1	1596213	1596237
1	420631	420719
1	2597390	2597503
1	2152575	2152598
1	1704383	1704087
1	1587838	1587560
1	3099593	3099626
1	459714	459611
1	2636620	2636688
1	172379	172538
1	389027	388939
0	1305621	1305775
1	276515	276501
1	1617861	1617809
1	3063295	3063680
1	1398956	1398777
0	1401946	1401697
1	98645	98414
0	3113657	3113590
1	2930352	2930380
1	2467229	2467352
0	1081112	1081199
1	1782395	1782413
1	1246493	1246786
0	41193	41211
1	1433616	1433454
1	1614192	1614332
1	228991	229263
1	459228	458802
0	1392369	1392292
1	479412	479618
1	1564390	1564515
1	1796642	1796689
1	3099578	3099683
0	1657996	1657704
1	2632867	2632821
0	1263127	1263344
0	246757	246805
1	1552072	1551932
0	1669205	1669254
1	315656	315787
1	1831381	1831491
1	864267	864579
1	3119490	3119464
1	1378004	1378107
1	266876	266783
0	1195775	1195697
0	1958143	1958023
1	1626524	1626556
1	1694560	1694514
1	1945483	1945409
1	2689148	2689306
0	633874	633767
1	715991	716184
1	2636303	2636440
1	361266	361184
0	2929557	2929563
0	878767	878534
0	1479611	1479716
1	44397	44620
1	2359452	2359376
0	203291	203344
0	2007119	2007087
1	2792884	2792738
1	629417	628975
1	3364032	3364117
1	1676486	1676574
1	2313560	2313548
1	2375777	2375808
1	1363194	1362857
1	2815705	2815885
1	1691429	1691605
1	396175	396035
1	2287353	2287336
0	2904808	2904964
1	3046537	3046639
0	146113	146126
1	2020349	2020588
1	2196877	2196798
1	3422853	3422916
1	1761421	1761551
1	2609667	2609889
1	1596087	1596024
1	274229	274136
1	774520	774298
1	2968215	2968166
1	2532424	2532313
0	1821373	1821723
1	2384731	2384653
1	816341	816360
1	855331	855107
1	2425559	2425606
1	716894	716603
1	3286477	3286335
0	1320606	1320498
1	1089463	1089519
1	3256383	3256410
1	715320	715197
1	833153	833193
1	2836872	2837029
1	1408377	1408706
1	3073750	3073779
1	1611763	1611723
1	3265736	3265630
1	1819056	1819124
1	278163	278382
1	1510296	1510225
1	345963	345901
1	820900	820927
1	881153	881309
1	2224082	2223823
1	1630597	1630669
1	2678860	2678895
1	2482005	2481972
0	1438073	1438024
1	1703392	1703451
0	2526928	2526952
1	2759792	2759807
0	191346	191536
0	1789073	1788780
1	2216664	2216689
0	3300416	3300721
0	1479753	1479819
1	1183817	1183688
1	1730650	1730772
1	1462786	1463120
0	1921865	1921879
1	2276459	2276361
1	1926146	1926126
1	1793425	1793488
1	2195721	2195937
0	969671	969584
0	746177	746211
1	2011656	2011796
1	2384647	2384724
0	3447348	3447301
1	3334681	3334887
0	969380	969673
1	1571035	1571099
1	607096	607222
0	91457	91527
1	1146450	1146484
1	2749203	2749190
1	423227	423244
1	2702505	2702695
1	2813342	2813365
0	1116621	1116661
0	1050718	1050632
1	2924620	2925014
0	2622075	2622719
1	209615	209601
0	2133905	2134140
0	232432	232716
0	2670301	2670231
1	545926	545817
1	399715	399588
1	214786	214456
1	731753	731593
1	1705093	1704989
1	451540	451590
1	3314564	3314185
0	804259	804115
0	2195121	2195141
1	2939979	2939941
1	3014165	3014133
1	379579	379458
1	481929	481981
0	2787375	2787404
0	1980126	1980211
1	3299227	3299188
0	1669277	1669222
1	3125018	3124927
0	2025802	2025681
0	2357216	2357196
1	3190817	3190834
1	616279	616223
1	1653584	1653844
1	2488322	2488374
1	1809432	1809422
0	1296641	1296436
1	460136	460201
1	826466	826607
0	763636	763618
0	2876861	2876951
1	3372291	3372332
1	1687490	1687430
1	1369754	1369906
1	881734	882010
0	1413741	1413711
1	3159653	3159764
0	3411418	3411820
1	1784474	1784513
1	684307	684050
0	830829	830805
1	3434409	3434578
0	770328	770414
1	1134743	1134948
1	2173497	2173632
1	1090499	1090289
1	2228840	2228717
1	2132227	2132275
1	390511	390658
1	2222267	2222353
1	3085916	3085789
1	1907709	1907769
1	1675037	1675047
1	121931	122054
1	3168654	3168714
1	3052789	3052812
1	2536332	2536313
1	1707805	1707851
1	2980398	2980147
0	554867	554875
0	1134101	1133958
1	2472857	2472830
0	2546948	2547079
0	1398658	1398617
1	3353902	3353811
1	2332632	2333026
0	3254081	3254131
1	1268485	1268448
1	2173289	2173179
1	496011	496262
1	2724265	2724346
1	781404	781423
1	2906103	2906321
0	509471	509095
1	2550244	2550413
0	2562645	2562631
0	1729744	1729706
0	395559	395451
1	1989164	1989348
0	612172	612073
1	3287079	3287709
1	3351573	3351167
1	2818485	2818521
1	422580	422428
0	1639902	1640247
0	1479563	1479819
1	3313504	3313769
1	2321397	2321451
1	172945	172742
1	2472825	2472863
0	969586	969512
1	1953291	1953412
1	2679022	2679221
0	510887	510855
1	2484349	2484160
1	1501925	1502094
0	813244	813532
1	2749311	2749444
1	3102010	3102052
1	1864807	1864926
0	2607409	2607529
1	2795949	2795974
1	636412	636322
1	1163497	1163395
1	276404	276122
1	666238	666192
1	960861	960916
0	2089677	2089938
1	2083437	2083550
1	342605	342611
1	2030918	2030878
1	3267232	3267338
0	1694591	1694663
1	3304690	3304606
1	2553132	2553328
0	2155800	2156091
0	375576	375682
0	2155884	2155607
1	1322386	1322404
1	2524292	2524149
0	3326118	3325997
1	1625195	1625499
1	1830745	1831002
1	1524868	1524905
1	851678	851911
1	54823	55177
1	392771	392701
1	1987428	1987385
1	711871	711923
1	1443641	1443672
1	2221841	2221884
1	2830817	2830766
1	134455	134545
1	2060262	2060225
1	3185726	3185754
1	2378827	2378888
1	2893299	2893356
1	2080922	2080979
0	3251501	3251262
1	2636300	2636438
1	226395	226669
1	488404	488310
1	1617617	1617714
0	490221	490032
1	408572	408628
1	1549628	1549570
1	2458335	2458449
1	1123369	1123468
0	1702735	1702711
1	1394508	1394489
1	2493378	2493420
1	645180	645536
0	1140025	1140085
1	1953409	1953285
0	869241	869208
0	633875	633744
0	3190211	3190134
0	1643243	1643049
1	3058482	3058386
1	3384269	3383800
1	713992	713965
1	2425362	2425341
1	1201425	1201329
0	222535	222564
1	1039162	1038840
1	3436639	3436708
1	1124284	1124161
0	1479538	1479819
1	2858180	2858100
1	1044270	1044301
0	1151084	1151062
1	2885844	2885779
1	3014157	3014190
0	787889	788223
1	512322	511968
1	867716	867754
1	618359	617945
1	126662	126748
1	1908352	1908458
1	1785196	1785461
1	2173826	2173501
1	2375776	2375807
1	269089	268884
1	2537987	2538021
1	2980690	2980538
1	1027143	1027507
0	130265	129786
1	261718	261828
1	2776609	2776659
1	261957	261729
0	925534	925489
1	1478533	1478601
1	725698	725404
1	2484347	2484159
0	1607342	1607469
1	243700	243946
1	1240372	1240326
0	1983012	1983180
0	1088209	1088238
1	1703443	1703477
1	941626	941679
1	3085927	3085530
1	2746528	2746712
0	1140029	1140085
